aspect,chili,elevation,lat,long,newfire,newfire_yr,oldfire,oldfire_yr,reburn,slope,tpi,folded_aspect
7.6967587,144,929,42.2744914,-123.9855675,chetco,2017,biscuit,2002,biscuit_chetco,9.277292,38,7.6967587
234.73581,246,1044,42.3331047,-123.9635141,chetco,2017,biscuit,2002,biscuit_chetco,31.66794,83,125.26419
187.01277,229,1188,42.3509007,-123.8960128,chetco,2017,biscuit,2002,biscuit_chetco,10.171095,135,172.98723
291.30594,186,511,42.1827989,-124.0445019,chetco,2017,biscuit,2002,biscuit_chetco,24.013783,-9,68.69406
300.34387,161,976,42.1421803,-123.962807,chetco,2017,biscuit,2002,biscuit_chetco,25.671059,46,59.65613
332.78302,123,412,42.2076208,-124.0814259,chetco,2017,biscuit,2002,biscuit_chetco,20.920229,74,27.21698
0,107,521,42.2518691,-123.9869688,chetco,2017,biscuit,2002,biscuit_chetco,10.992985,-145,0
335.77316,150,585,42.2029144,-124.0544744,chetco,2017,biscuit,2002,biscuit_chetco,12.0250635,11,24.22684
287.1305,170,798,42.2911349,-124.0111736,chetco,2017,biscuit,2002,biscuit_chetco,15.3650055,129,72.8695
157.92981,219,283,42.2758211,-124.0580486,chetco,2017,biscuit,2002,biscuit_chetco,19.2571,-10,157.92981
280.7898,186,338,42.1722944,-124.0508572,chetco,2017,biscuit,2002,biscuit_chetco,37.891205,-8,79.2102
196.7071,240,889,42.2372073,-123.9046184,chetco,2017,biscuit,2002,biscuit_chetco,24.528782,104,163.2929
264.4928,209,1161,42.337737,-124.1652894,chetco,2017,biscuit,2002,biscuit_chetco,26.840431,68,95.5072
265.29584,205,624,42.2179087,-123.9934144,chetco,2017,biscuit,2002,biscuit_chetco,38.292587,-52,94.70416
334.08328,123,734,42.1970332,-124.0352408,chetco,2017,biscuit,2002,biscuit_chetco,24.22513,14,25.91672
325.93588,186,1266,42.3118517,-123.9159578,chetco,2017,biscuit,2002,biscuit_chetco,4.4693213,112,34.06412
220.56912,247,1085,42.2919055,-123.8910459,chetco,2017,biscuit,2002,biscuit_chetco,32.59115,116,139.43088
136.84775,210,669,42.3991094,-123.9676492,chetco,2017,biscuit,2002,biscuit_chetco,29.981298,19,136.84775
110.32089,189,664,42.2131473,-124.0329604,chetco,2017,biscuit,2002,biscuit_chetco,7.960622,-7,110.32089
225.94345,220,863,42.2747005,-124.0053319,chetco,2017,biscuit,2002,biscuit_chetco,21.591196,47,134.05655
291.5454,155,1206,42.2431001,-123.8164521,chetco,2017,biscuit,2002,biscuit_chetco,35.19437,125,68.4546
327.39203,106,688,42.2300238,-123.9931908,chetco,2017,biscuit,2002,biscuit_chetco,36.1383,-33,32.60797
261.58682,194,689,42.3103875,-124.1871235,chetco,2017,biscuit,2002,biscuit_chetco,6.31352,28,98.41318
226.13255,227,792,42.3193409,-124.0990475,chetco,2017,biscuit,2002,biscuit_chetco,16.891966,29,133.86745
133.3381,204,645,42.1486385,-124.0060132,chetco,2017,biscuit,2002,biscuit_chetco,18.274113,0,133.3381
21.528587,60,860,42.323294,-123.9357523,chetco,2017,biscuit,2002,biscuit_chetco,22.667542,-10,21.528587
186.85861,249,1135,42.3523446,-123.9364207,chetco,2017,biscuit,2002,biscuit_chetco,36.2675,93,173.14139
351.75342,98,719,42.3313759,-123.973392,chetco,2017,biscuit,2002,biscuit_chetco,24.60746,-21,8.24658
262.55142,199,925,42.1954819,-123.8725452,chetco,2017,biscuit,2002,biscuit_chetco,20.536568,49,97.44858
25.970562,110,522,42.347565,-123.9726376,chetco,2017,biscuit,2002,biscuit_chetco,24.234934,-73,25.970562
92.81845,151,787,42.398957,-123.9712105,chetco,2017,biscuit,2002,biscuit_chetco,33.361763,49,92.81845
152.77124,207,532,42.2398818,-124.088398,chetco,2017,biscuit,2002,biscuit_chetco,20.922253,22,152.77124
215.17934,220,686,42.2533418,-123.8540316,chetco,2017,biscuit,2002,biscuit_chetco,24.490108,-34,144.82066
301.34763,180,737,42.2959407,-124.1253736,chetco,2017,biscuit,2002,biscuit_chetco,23.53952,-36,58.65237
220.51135,236,752,42.3379707,-124.037246,chetco,2017,biscuit,2002,biscuit_chetco,22.02563,-42,139.48865
9.197896,120,894,42.1768489,-123.860417,chetco,2017,biscuit,2002,biscuit_chetco,22.291939,-18,9.197896
222.05106,235,936,42.3467452,-124.1785394,chetco,2017,biscuit,2002,biscuit_chetco,24.5986,-1,137.94894
261.5677,205,632,42.1647199,-124.0094283,chetco,2017,biscuit,2002,biscuit_chetco,12.450087,-46,98.4323
117.11871,178,683,42.2892936,-124.057782,chetco,2017,biscuit,2002,biscuit_chetco,17.724434,114,117.11871
219.45416,223,1169,42.3018112,-123.8993935,chetco,2017,biscuit,2002,biscuit_chetco,25.743132,31,140.54584
135.30234,215,762,42.1733662,-124.0244021,chetco,2017,biscuit,2002,biscuit_chetco,18.859997,15,135.30234
69.70359,134,443,42.2958614,-124.0975258,chetco,2017,biscuit,2002,biscuit_chetco,7.969699,-30,69.70359
43.09064,99,304,42.263568,-124.0186464,chetco,2017,biscuit,2002,biscuit_chetco,29.956331,-126,43.09064
335.79773,140,423,42.1303754,-123.9938291,chetco,2017,biscuit,2002,biscuit_chetco,20.44054,-129,24.20227
128.27487,195,1107,42.2921319,-123.8965651,chetco,2017,biscuit,2002,biscuit_chetco,22.691269,88,128.27487
50.080338,91,800,42.2540859,-123.900855,chetco,2017,biscuit,2002,biscuit_chetco,33.25978,51,50.080338
11.234304,65,694,42.2366036,-123.9192955,chetco,2017,biscuit,2002,biscuit_chetco,29.298365,68,11.234304
162.0602,224,941,42.158354,-123.9738411,chetco,2017,biscuit,2002,biscuit_chetco,23.043726,-2,162.0602
35.55545,126,837,42.20968,-123.9972786,chetco,2017,biscuit,2002,biscuit_chetco,18.688597,24,35.55545
114.87526,201,693,42.1101416,-124.0000898,chetco,2017,biscuit,2002,biscuit_chetco,21.04837,2,114.87526
58.36534,131,510,42.3328269,-124.0178705,chetco,2017,biscuit,2002,biscuit_chetco,17.15189,-10,58.36534
192.20836,237,795,42.31061,-124.1733618,chetco,2017,biscuit,2002,biscuit_chetco,22.4924,29,167.79164
180,248,863,42.230926,-123.8665315,chetco,2017,biscuit,2002,biscuit_chetco,28.827692,5,180
53.492416,143,420,42.2544385,-124.015732,chetco,2017,biscuit,2002,biscuit_chetco,15.221435,-62,53.492416
0,158,1367,42.2066869,-123.8232307,chetco,2017,biscuit,2002,biscuit_chetco,15.386483,96,0
262.10364,228,720,42.292883,-124.1251586,chetco,2017,biscuit,2002,biscuit_chetco,19.468094,15,97.89636
133.98299,204,708,42.2752498,-123.9056499,chetco,2017,biscuit,2002,biscuit_chetco,34.965534,37,133.98299
126.51458,203,851,42.238419,-124.0448478,chetco,2017,biscuit,2002,biscuit_chetco,12.278417,50,126.51458
18.661947,65,682,42.2505657,-123.9362358,chetco,2017,biscuit,2002,biscuit_chetco,34.35043,38,18.661947
100.489296,187,787,42.2187079,-124.0334654,chetco,2017,biscuit,2002,biscuit_chetco,19.579147,55,100.489296
315.22424,155,603,42.345721,-123.9745869,chetco,2017,biscuit,2002,biscuit_chetco,18.883686,-50,44.77576
93.25362,159,1243,42.3521337,-124.1598968,chetco,2017,biscuit,2002,biscuit_chetco,15.919084,68,93.25362
52.007935,89,346,42.2723791,-123.9326702,chetco,2017,biscuit,2002,biscuit_chetco,26.549522,-92,52.007935
110.32245,162,870,42.2076383,-123.9958386,chetco,2017,biscuit,2002,biscuit_chetco,20.44945,-10,110.32245
341.3113,124,512,42.3475163,-123.9752596,chetco,2017,biscuit,2002,biscuit_chetco,28.671679,-90,18.6887
47.252728,193,991,42.3161708,-124.1421806,chetco,2017,biscuit,2002,biscuit_chetco,6.8000774,36,47.252728
251.78331,191,1110,42.2268746,-123.8530708,chetco,2017,biscuit,2002,biscuit_chetco,22.502222,98,108.21669
236.63838,224,1362,42.2072868,-123.825395,chetco,2017,biscuit,2002,biscuit_chetco,13.251272,73,123.36162
169.7783,248,1018,42.3170672,-123.9333429,chetco,2017,biscuit,2002,biscuit_chetco,26.264734,114,169.7783
357.02576,117,609,42.2464126,-123.8899991,chetco,2017,biscuit,2002,biscuit_chetco,22.852978,-10,2.97424
148.55356,201,900,42.3950692,-123.9737508,chetco,2017,biscuit,2002,biscuit_chetco,30.464582,126,148.55356
197.83664,248,663,42.2724773,-123.8671397,chetco,2017,biscuit,2002,biscuit_chetco,19.652054,-61,162.16336
278.68802,180,315,42.3901043,-124.0056219,chetco,2017,biscuit,2002,biscuit_chetco,32.7407,-19,81.31198
145.99484,206,762,42.1715444,-124.0297751,chetco,2017,biscuit,2002,biscuit_chetco,8.878831,78,145.99484
345.4276,114,785,42.2904015,-123.992907,chetco,2017,biscuit,2002,biscuit_chetco,23.502855,7,14.5724
46.832817,55,606,42.2247816,-123.9382238,chetco,2017,biscuit,2002,biscuit_chetco,41.960308,-134,46.832817
283.23834,184,1014,42.3221113,-124.1441127,chetco,2017,biscuit,2002,biscuit_chetco,26.32701,21,76.76166
325.9813,170,772,42.203892,-124.0269295,chetco,2017,biscuit,2002,biscuit_chetco,15.292263,29,34.0187
135.14041,206,486,42.2293041,-123.8856877,chetco,2017,biscuit,2002,biscuit_chetco,23.456228,-111,135.14041
279.61557,134,1131,42.1665118,-123.8735896,chetco,2017,biscuit,2002,biscuit_chetco,37.786137,56,80.38443
232.10498,217,1133,42.3176658,-123.9275657,chetco,2017,biscuit,2002,biscuit_chetco,27.793848,133,127.89502
217.68135,225,730,42.2823694,-124.0056434,chetco,2017,biscuit,2002,biscuit_chetco,8.148124,-17,142.31865
320.41434,98,511,42.3467851,-123.999978,chetco,2017,biscuit,2002,biscuit_chetco,37.09549,-66,39.58566
351.14563,147,407,42.2097067,-124.0781546,chetco,2017,biscuit,2002,biscuit_chetco,23.071981,21,8.85437
281.40036,185,1073,42.3236765,-123.9210943,chetco,2017,biscuit,2002,biscuit_chetco,26.168282,60,78.59964
201.90028,252,305,42.3075877,-123.9851203,chetco,2017,biscuit,2002,biscuit_chetco,32.843567,-111,158.09972
137.96152,204,1188,42.3188843,-123.849402,chetco,2017,biscuit,2002,biscuit_chetco,18.104622,43,137.96152
35.32393,122,682,42.3411899,-123.9900786,chetco,2017,biscuit,2002,biscuit_chetco,22.619053,35,35.32393
209.40962,211,924,42.3389898,-124.17901,chetco,2017,biscuit,2002,biscuit_chetco,12.5707,28,150.59038
111.70843,179,933,42.3227079,-124.1554779,chetco,2017,biscuit,2002,biscuit_chetco,17.03253,-15,111.70843
141.70384,207,287,42.3766701,-123.9693233,chetco,2017,biscuit,2002,biscuit_chetco,26.33668,-108,141.70384
49.776714,149,867,42.2650676,-123.9523185,chetco,2017,biscuit,2002,biscuit_chetco,11.339665,73,49.776714
214.03389,220,932,42.2401739,-124.0488324,chetco,2017,biscuit,2002,biscuit_chetco,11.052852,118,145.96611
192.71025,230,973,42.3586333,-124.1852664,chetco,2017,biscuit,2002,biscuit_chetco,21.715706,17,167.28975
291.8698,198,732,42.1816347,-124.0339747,chetco,2017,biscuit,2002,biscuit_chetco,29.464016,4,68.1302
195.51137,246,898,42.3450975,-123.9288896,chetco,2017,biscuit,2002,biscuit_chetco,33.23228,-8,164.48863
128.37024,216,819,42.3570772,-124.0211652,chetco,2017,biscuit,2002,biscuit_chetco,21.364063,9,128.37024
126.47109,178,346,42.338521,-124.0119729,chetco,2017,biscuit,2002,biscuit_chetco,19.49545,-106,126.47109
162.9082,226,1074,42.3419705,-124.0439386,chetco,2017,biscuit,2002,biscuit_chetco,36.69246,49,162.9082
272.64688,187,394,42.2964968,-124.0694243,chetco,2017,biscuit,2002,biscuit_chetco,19.317314,-68,87.35312
202.58894,226,1009,42.3038405,-124.1327389,chetco,2017,biscuit,2002,biscuit_chetco,12.839883,79,157.41106
350.9644,134,480,42.2841184,-124.0282706,chetco,2017,biscuit,2002,biscuit_chetco,15.57049,32,9.0356
137.92966,200,449,42.3889711,-123.9998318,chetco,2017,biscuit,2002,biscuit_chetco,7.45432,9,137.92966
279.98892,183,573,42.2909253,-123.9544398,chetco,2017,biscuit,2002,biscuit_chetco,25.014711,18,80.01108
224.00685,234,528,42.312344,-124.0985917,chetco,2017,biscuit,2002,biscuit_chetco,17.488987,-61,135.99315
99.87368,176,774,42.2915056,-123.9373877,chetco,2017,biscuit,2002,biscuit_chetco,20.686983,66,99.87368
15.136558,100,705,42.3232163,-124.0574337,chetco,2017,biscuit,2002,biscuit_chetco,18.54101,-85,15.136558
344.87915,147,538,42.2544764,-124.0893521,chetco,2017,biscuit,2002,biscuit_chetco,14.118444,51,15.12085
257.47595,199,957,42.2304059,-123.8216316,chetco,2017,biscuit,2002,biscuit_chetco,33.895145,-39,102.52405
14.787851,79,679,42.3416091,-123.9935066,chetco,2017,biscuit,2002,biscuit_chetco,34.467068,44,14.787851
245.16063,216,1195,42.2142121,-123.8201572,chetco,2017,biscuit,2002,biscuit_chetco,21.074347,-44,114.83937
270,188,890,42.2489043,-123.9714532,chetco,2017,biscuit,2002,biscuit_chetco,24.666443,28,90
183.86249,223,484,42.2200232,-124.0573907,chetco,2017,biscuit,2002,biscuit_chetco,17.977856,-11,176.13751
82.723465,163,588,42.2187662,-123.9956064,chetco,2017,biscuit,2002,biscuit_chetco,32.579906,-127,82.723465
233.51851,221,993,42.3143307,-124.139668,chetco,2017,biscuit,2002,biscuit_chetco,26.108267,13,126.48149
256.84848,226,930,42.276479,-124.00476,chetco,2017,biscuit,2002,biscuit_chetco,23.116653,95,103.15152
55.718124,111,766,42.3964593,-123.9706042,chetco,2017,biscuit,2002,biscuit_chetco,19.027792,99,55.718124
116.21601,154,584,42.3867311,-123.9735143,chetco,2017,biscuit,2002,biscuit_chetco,27.158611,-6,116.21601
180,218,523,42.3113582,-124.0046697,chetco,2017,biscuit,2002,biscuit_chetco,24.38277,40,180
266.32248,211,671,42.3419765,-123.9777139,chetco,2017,biscuit,2002,biscuit_chetco,26.782791,-5,93.67752
211.18222,246,1208,42.2079561,-123.8328979,chetco,2017,biscuit,2002,biscuit_chetco,28.754543,53,148.81778
297.10825,223,1159,42.3176077,-123.8924491,chetco,2017,biscuit,2002,biscuit_chetco,17.730358,41,62.89175
261.8177,202,874,42.3131327,-123.9528579,chetco,2017,biscuit,2002,biscuit_chetco,38.5259,8,98.1823
277.5207,179,778,42.327239,-123.9251907,chetco,2017,biscuit,2002,biscuit_chetco,31.73267,-53,82.4793
67.399864,122,752,42.2665994,-123.9734498,chetco,2017,biscuit,2002,biscuit_chetco,20.762074,-39,67.399864
329.96082,160,1082,42.1716967,-123.8626477,chetco,2017,biscuit,2002,biscuit_chetco,21.439325,61,30.03918
217.2118,227,1056,42.2047106,-123.8385461,chetco,2017,biscuit,2002,biscuit_chetco,18.015394,-19,142.7882
24.270895,148,595,42.3323288,-124.0218078,chetco,2017,biscuit,2002,biscuit_chetco,9.07998,9,24.270895
69.69644,157,571,42.2716342,-123.9413981,chetco,2017,biscuit,2002,biscuit_chetco,20.466158,10,69.69644
111.985344,179,804,42.254025,-123.9520218,chetco,2017,biscuit,2002,biscuit_chetco,14.544191,-4,111.985344
342.50174,140,445,42.2587048,-124.0543473,chetco,2017,biscuit,2002,biscuit_chetco,26.984995,-46,17.49826
261.57828,210,578,42.245281,-123.9201077,chetco,2017,biscuit,2002,biscuit_chetco,33.551125,-7,98.42172
180,228,706,42.3205305,-124.190691,chetco,2017,biscuit,2002,biscuit_chetco,9.195146,32,180
145.92438,197,498,42.3388665,-124.0173416,chetco,2017,biscuit,2002,biscuit_chetco,23.265514,-24,145.92438
78.37941,135,801,42.241187,-124.0308711,chetco,2017,biscuit,2002,biscuit_chetco,21.89131,55,78.37941
339.53983,100,983,42.3204765,-123.9442695,chetco,2017,biscuit,2002,biscuit_chetco,26.61335,20,20.46017
281.41666,180,654,42.2310973,-124.061457,chetco,2017,biscuit,2002,biscuit_chetco,13.784704,44,78.58334
102.302025,204,624,42.1451377,-124.0088177,chetco,2017,biscuit,2002,biscuit_chetco,20.800724,77,102.302025
335.77777,95,674,42.189017,-123.8753411,chetco,2017,biscuit,2002,biscuit_chetco,12.02464,-87,24.22223
23.009811,60,464,42.2635521,-123.915835,chetco,2017,biscuit,2002,biscuit_chetco,31.614212,-136,23.009811
0,149,1000,42.2003462,-123.9754335,chetco,2017,biscuit,2002,biscuit_chetco,20.421242,8,0
100.847336,168,1085,42.3458907,-123.9115193,chetco,2017,biscuit,2002,biscuit_chetco,31.052933,129,100.847336
309.82434,187,357,42.1631834,-124.048669,chetco,2017,biscuit,2002,biscuit_chetco,24.46416,8,50.17566
76.1382,161,456,42.2427894,-124.011659,chetco,2017,biscuit,2002,biscuit_chetco,7.6959925,-35,76.1382
59.79909,131,1031,42.2027583,-124.0002809,chetco,2017,biscuit,2002,biscuit_chetco,19.493109,54,59.79909
319.80316,139,587,42.2965698,-124.0087618,chetco,2017,biscuit,2002,biscuit_chetco,18.73106,11,40.19684
185.72614,241,259,42.3776429,-123.9931368,chetco,2017,biscuit,2002,biscuit_chetco,23.714043,-67,174.27386
263.33124,227,962,42.2263276,-123.8595699,chetco,2017,biscuit,2002,biscuit_chetco,22.693872,32,96.66876
166.61005,220,870,42.1559692,-123.877342,chetco,2017,biscuit,2002,biscuit_chetco,15.795244,-86,166.61005
304.16675,163,586,42.2297953,-124.0662734,chetco,2017,biscuit,2002,biscuit_chetco,17.592064,14,55.83325
210.75159,228,674,42.3088014,-124.1166753,chetco,2017,biscuit,2002,biscuit_chetco,25.2161,-51,149.24841
129.48268,193,718,42.145138,-123.9902955,chetco,2017,biscuit,2002,biscuit_chetco,14.28332,42,129.48268
289.06137,189,700,42.2331905,-124.0584652,chetco,2017,biscuit,2002,biscuit_chetco,19.135336,34,70.93863
242.4351,212,569,42.3103477,-124.0776644,chetco,2017,biscuit,2002,biscuit_chetco,22.771568,-36,117.5649
295.4769,190,649,42.166947,-124.0080203,chetco,2017,biscuit,2002,biscuit_chetco,18.711136,-55,64.5231
141.7362,212,416,42.3035921,-124.1053445,chetco,2017,biscuit,2002,biscuit_chetco,26.326523,-105,141.7362
309.9776,139,267,42.2862239,-123.9646722,chetco,2017,biscuit,2002,biscuit_chetco,23.186543,-97,50.0224
216.0466,221,404,42.280317,-124.0336522,chetco,2017,biscuit,2002,biscuit_chetco,14.588881,2,143.9534
294.29822,159,565,42.3717278,-124.0335576,chetco,2017,biscuit,2002,biscuit_chetco,23.399946,-70,65.70178
93.53794,167,633,42.1043119,-124.0009278,chetco,2017,biscuit,2002,biscuit_chetco,14.69879,-14,93.53794
33.47195,91,228,42.384662,-124.008693,chetco,2017,biscuit,2002,biscuit_chetco,39.843826,-59,33.47195
